ArtistID,ArtistName
1,Buddy Holly
2,Various 
3,2 Pac
4,Eagles
5,Huang Yau-Tai
6,Jean Michel Jarre
7,Weather Report
8,Meatloaf
9,New York Philharmonic 
10, Bob Seger 
11,Leo Kottke
12,Otis Redding/Jimi Hendrix
13,Richard Rodgers
14,Fleetwood Mac
15,Bob Dylan
16,Rodgers and Hammerstein
17,Simon and Garfunkel
18,Podipto
19,Neil Diamond
20,John Lennon
21,Beethoven 
22,T-Pain
23,Stephen Sondheim
24,Tracy Chapman
25,Hal Holbrook
26,Peter Paul and Mary
27,Robert Redford
28,Jerry Goldsmith
29,The Doors
30,Tchaikovsky/ St. Louis Symphony Orchestra
31,Van Morrison
32,Johnny Cash
33,Johnny Rivers
34,Guckenheimer Saurkraut Band
35,Rod Stewart
